"region","state","city","population"
"Centro-Oeste","Mato Grosso do Sul","Alcinópolis","50"
"Centro-Oeste","Mato Grosso do Sul","Amambai","50"
"Centro-Oeste","Mato Grosso do Sul","Bataguassu","50"
"Centro-Oeste","Mato Grosso do Sul","Batayporã","50"
"Centro-Oeste","Mato Grosso do Sul","Bela Vista","50"
"Centro-Oeste","Mato Grosso do Sul","Bonito","50"
"Centro-Oeste","Mato Grosso do Sul","Brasilândia","50"
"Centro-Oeste","Mato Grosso do Sul","Campo Grande","50"
"Centro-Oeste","Mato Grosso do Sul","Chapadão do Sul","50"
"Centro-Oeste","Mato Grosso do Sul","Corumbá","50"
"Centro-Oeste","Mato Grosso do Sul","Coxim","50"
"Centro-Oeste","Mato Grosso do Sul","Dourados","50"
"Centro-Oeste","Mato Grosso do Sul","Guia Lopes da Laguna","50"
"Centro-Oeste","Mato Grosso do Sul","Jardim","50"
"Centro-Oeste","Mato Grosso do Sul","Ladário","50"
"Centro-Oeste","Mato Grosso do Sul","Miranda","50"
"Centro-Oeste","Mato Grosso do Sul","Mundo Novo","50"
"Centro-Oeste","Mato Grosso do Sul","Naviraí","50"
"Centro-Oeste","Mato Grosso do Sul","Nova Andradina","50"
"Centro-Oeste","Mato Grosso do Sul","Paraíso das Águas","50"
"Centro-Oeste","Mato Grosso do Sul","Paranaíba","50"
"Centro-Oeste","Mato Grosso do Sul","Ponta Porã","50"
"Centro-Oeste","Mato Grosso do Sul","Ribas do Rio Pardo","50"
"Centro-Oeste","Mato Grosso do Sul","Rio Verde de Mato Grosso","50"
"Centro-Oeste","Mato Grosso do Sul","São Gabriel do Oeste","50"
"Centro-Oeste","Mato Grosso do Sul","Selvíria","50"
"Centro-Oeste","Mato Grosso do Sul","Sidrolândia","50"
"Centro-Oeste","Mato Grosso do Sul","Sonora","50"
"Centro-Oeste","Mato Grosso do Sul","Três Lagoas","50"
"Centro-Oeste","Mato Grosso do Sul","Vicentina","50"
"Centro-Oeste","Mato Grosso","Acorizal","51"
"Centro-Oeste","Mato Grosso","Água Boa","51"
"Centro-Oeste","Mato Grosso","Alta Floresta","51"
"Centro-Oeste","Mato Grosso","Aripuanã","51"
"Centro-Oeste","Mato Grosso","Barra do Garças","51"
"Centro-Oeste","Mato Grosso","Cáceres","51"
"Centro-Oeste","Mato Grosso","Campo Novo do Parecis","51"
"Centro-Oeste","Mato Grosso","Canarana","51"
"Centro-Oeste","Mato Grosso","Chapada dos Guimarães","51"
"Centro-Oeste","Mato Grosso","Confresa","51"
"Centro-Oeste","Mato Grosso","Conquista D'Oeste","51"
"Centro-Oeste","Mato Grosso","Cotriguaçu","51"
"Centro-Oeste","Mato Grosso","Cuiabá","51"
"Centro-Oeste","Mato Grosso","Curvelândia","51"
